================================================================================
LOGO FILENAME REFERENCE
================================================================================

Total unique vendors: 431
Existing logos: 191
Missing logos: 240


================================================================================
ALL VENDORS - Required Logo Filenames
================================================================================
Vendor Name                                        Logo Filename                  Status
--------------------------------------------------------------------------------
12New.ai                                           12newai.png                      ✗ MISSING
273 Ventures                                       273ventures.png                      ✓ EXISTS
2nd Chair                                          2ndchair.png                      ✗ MISSING
A&O Shearman                                       aoshearman.png                      ✗ MISSING
A-dapt International Ltd                           adaptinternationalltd.png                      ✗ MISSING
AI Legal Assistant                                 ailegalassistant.png                      ✗ MISSING
AI.Law                                             ailaw.png                      ✓ EXISTS
AI4Discovery                                       ai4discovery.png                      ✗ MISSING
Abstract                                           abstract.png                      ✓ EXISTS
Ace4 AI                                            ace4ai.png                      ✓ EXISTS
AcroDocz                                           acrodocz.png                      ✓ EXISTS
Actionstep                                         actionstep.png                      ✓ EXISTS
Added Matter                                       addedmatter.png                      ✗ MISSING
Adobe                                              adobe.png                      ✓ EXISTS
Agiloft                                            agiloft.png                      ✓ EXISTS
AirCounsel                                         aircounsel.png                      ✗ MISSING
Airia                                              airia.png                      ✗ MISSING
Alegi                                              alegi.png                      ✗ MISSING
Alexi                                              alexi.png                      ✓ EXISTS
Aloi                                               aloi.png                      ✗ MISSING
AlphaSense                                         alphasense.png                      ✓ EXISTS
Altumatim                                          altumatim.png                      ✓ EXISTS
American Arbitration Association                   americanarbitrationassociation.png                      ✗ MISSING
Amplified AI, Inc.                                 amplifiedaiinc.png                      ✓ EXISTS
Amtolit Inc.                                       amtolitinc.png                      ✓ EXISTS
AndAI Inc.                                         andaiinc.png                      ✓ EXISTS
Andri.ai                                           andriai.png                      ✓ EXISTS
Annature                                           annature.png                      ✓ EXISTS
Antidote Legal                                     antidotelegal.png                      ✓ EXISTS
Anylaw                                             anylaw.png                      ✗ MISSING
Anytime AI                                         anytimeai.png                      ✓ EXISTS
Apprvd                                             apprvd.png                      ✓ EXISTS
ArrowLex                                           arrowlex.png                      ✗ MISSING
Arteria AI                                         arteriaai.png                      ✓ EXISTS
AssetDivide                                        assetdivide.png                      ✓ EXISTS
AtlasAI                                            atlasai.png                      ✗ MISSING
Atticus                                            atticus.png                      ✓ EXISTS
August                                             august.png                      ✗ MISSING
AutoLex                                            autolex.png                      ✓ EXISTS
Autologyx                                          autologyx.png                      ✓ EXISTS
Avantia                                            avantia.png                      ✓ EXISTS
Avokaado                                           avokaado.png                      ✓ EXISTS
Avvoka                                             avvoka.png                      ✓ EXISTS
Axsar                                              axsar.png                      ✓ EXISTS
BRYTER                                             bryter.png                      ✗ MISSING
BRYTER GmbH                                        brytergmbh.png                      ✓ EXISTS
Beagle                                             beagle.png                      ✓ EXISTS
Bering Lab                                         beringlab.png                      ✗ MISSING
Betty Blocks                                       bettyblocks.png                      ✓ EXISTS
BigHand                                            bighand.png                      ✓ EXISTS
Bigle Iberia, S.L.                                 bigleiberiasl.png                      ✓ EXISTS
Billables AI                                       billablesai.png                      ✓ EXISTS
Black Hills AI                                     blackhillsai.png                      ✗ MISSING
BlackBoiler                                        blackboiler.png                      ✓ EXISTS
Blee                                               blee.png                      ✓ EXISTS
Booke.ai                                           bookeai.png                      ✗ MISSING
Boutiq AI                                          boutiqai.png                      ✓ EXISTS
Brackets AI                                        bracketsai.png                      ✗ MISSING
Braithwate Ltd                                     braithwateltd.png                      ✓ EXISTS
BriefBox                                           briefbox.png                      ✓ EXISTS
BriefCatch                                         briefcatch.png                      ✓ EXISTS
Brightflag                                         brightflag.png                      ✓ EXISTS
Bundledocs                                         bundledocs.png                      ✓ EXISTS
CORTO                                              corto.png                      ✓ EXISTS
CTRL AI Global Ltd.                                ctrlaigloballtd.png                      ✗ MISSING
CallidusAI, Inc.                                   callidusaiinc.png                      ✗ MISSING
CamoText LLC                                       camotextllc.png                      ✓ EXISTS
Candle AI                                          candleai.png                      ✗ MISSING
Canotera                                           canotera.png                      ✓ EXISTS
CarefulAI                                          carefulai.png                      ✓ EXISTS
Case Compass                                       casecompass.png                      ✗ MISSING
CaseBlink                                          caseblink.png                      ✗ MISSING
CaseFox                                            casefox.png                      ✗ MISSING
CaseFox Inc.                                       casefoxinc.png                      ✓ EXISTS
CaseGuild                                          caseguild.png                      ✗ MISSING
CaseMark                                           casemark.png                      ✓ EXISTS
Casepal                                            casepal.png                      ✓ EXISTS
Caseway                                            caseway.png                      ✓ EXISTS
Casey                                              casey.png                      ✗ MISSING
Catylex                                            catylex.png                      ✓ EXISTS
Centari                                            centari.png                      ✗ MISSING
Cequence                                           cequence.png                      ✓ EXISTS
Chamelio                                           chamelio.png                      ✗ MISSING
ChapsVision                                        chapsvision.png                      ✗ MISSING
Checkbox                                           checkbox.png                      ✓ EXISTS
CircleUp Technologies Pty Ltd                      circleuptechnologiesptyltd.png                      ✗ MISSING
Clarilis                                           clarilis.png                      ✓ EXISTS
ClauseBase                                         clausebase.png                      ✗ MISSING
ClauseBase 9                                       clausebase9.png                      ✗ MISSING
ClearPeople                                        clearpeople.png                      ✗ MISSING
Clearbrief                                         clearbrief.png                      ✓ EXISTS
Cleardocs                                          cleardocs.png                      ✓ EXISTS
Clearlaw Inc.                                      clearlawinc.png                      ✓ EXISTS
Clio                                               clio.png                      ✗ MISSING
Cloudficient                                       cloudficient.png                      ✗ MISSING
Cobblestone Software                               cobblestonesoftware.png                      ✗ MISSING
Coheso                                             coheso.png                      ✓ EXISTS
Coingeit                                           coingeit.png                      ✗ MISSING
Competition AI                                     competitionai.png                      ✗ MISSING
Consilio                                           consilio.png                      ✗ MISSING
Contract Logix by LegalSifter                      contractlogixbylegalsifter.png                      ✗ MISSING
ContractKen                                        contractken.png                      ✗ MISSING
ContractPodAI                                      contractpodai.png                      ✗ MISSING
ContractSafe                                       contractsafe.png                      ✓ EXISTS
ContractZen                                        contractzen.png                      ✓ EXISTS
Contractify                                        contractify.png                      ✓ EXISTS
Contractzy                                         contractzy.png                      ✓ EXISTS
Contraqto by Swiss GRC                             contraqtobyswissgrc.png                      ✗ MISSING
Corpora                                            corpora.png                      ✓ EXISTS
Counsel Stack                                      counselstack.png                      ✗ MISSING
CounselPro, Inc.                                   counselproinc.png                      ✓ EXISTS
CourtAid                                           courtaid.png                      ✓ EXISTS
Crimson                                            crimson.png                      ✓ EXISTS
Curvestone                                         curvestone.png                      ✓ EXISTS
DISCO                                              disco.png                      ✗ MISSING
Darrow                                             darrow.png                      ✓ EXISTS
Data Pro                                           datapro.png                      ✓ EXISTS
DealCloser Inc.                                    dealcloserinc.png                      ✓ EXISTS
DecoverAI                                          decoverai.png                      ✓ EXISTS
DeepIP                                             deepip.png                      ✓ EXISTS
DeepJudge AG                                       deepjudgeag.png                      ✓ EXISTS
Deliberately.ai                                    deliberatelyai.png                      ✗ MISSING
Deposely                                           deposely.png                      ✓ EXISTS
Descrybe                                           descrybe.png                      ✓ EXISTS
Deus Group                                         deusgroup.png                      ✗ MISSING
DigitalOwl                                         digitalowl.png                      ✗ MISSING
DiliTrust                                          dilitrust.png                      ✗ MISSING
Dimension AI                                       dimensionai.png                      ✗ MISSING
Dioptra                                            dioptra.png                      ✓ EXISTS
Discrepancy AI                                     discrepancyai.png                      ✓ EXISTS
DocDraft                                           docdraft.png                      ✗ MISSING
DocJuris                                           docjuris.png                      ✓ EXISTS
Doctrine                                           doctrine.png                      ✓ EXISTS
DocuSign                                           docusign.png                      ✓ EXISTS
Document Drafter                                   documentdrafter.png                      ✓ EXISTS
Dodonai                                            dodonai.png                      ✓ EXISTS
DraftCheck                                         draftcheck.png                      ✗ MISSING
DraftLex                                           draftlex.png                      ✗ MISSING
DraftPilot Ltd.                                    draftpilotltd.png                      ✗ MISSING
Draftwise                                          draftwise.png                      ✓ EXISTS
DueCourse                                          duecourse.png                      ✓ EXISTS
ELTEMATE A Hogan Lovells Technology Company        eltemateahoganlovellstechnologycompany.png                      ✗ MISSING
Edge                                               edge.png                      ✗ MISSING
EisphorIA                                          eisphoria.png                      ✗ MISSING
Element Standard                                   elementstandard.png                      ✗ MISSING
Emma Legal                                         emmalegal.png                      ✗ MISSING
Emmi                                               emmi.png                      ✗ MISSING
Erbis                                              erbis.png                      ✗ MISSING
Eskwai                                             eskwai.png                      ✗ MISSING
EsquireTek                                         esquiretek.png                      ✗ MISSING
Eudia                                              eudia.png                      ✗ MISSING
Eve                                                eve.png                      ✗ MISSING
EvenUp                                             evenup.png                      ✗ MISSING
Everlaw                                            everlaw.png                      ✓ EXISTS
Evisort                                            evisort.png                      ✗ MISSING
EyeLevel                                           eyelevel.png                      ✗ MISSING
Fern AI                                            fernai.png                      ✗ MISSING
FilePro                                            filepro.png                      ✓ EXISTS
Filevine                                           filevine.png                      ✗ MISSING
Finamotion                                         finamotion.png                      ✗ MISSING
Finch                                              finch.png                      ✗ MISSING
Fireflies.ai                                       firefliesai.png                      ✗ MISSING
FirmPilot                                          firmpilot.png                      ✗ MISSING
FirmProfit                                         firmprofit.png                      ✗ MISSING
FirstRead                                          firstread.png                      ✗ MISSING
Flank                                              flank.png                      ✗ MISSING
Fledger                                            fledger.png                      ✗ MISSING
GC AI                                              gcai.png                      ✓ EXISTS
GDPR Register                                      gdprregister.png                      ✓ EXISTS
Gatekeeper                                         gatekeeper.png                      ✓ EXISTS
Gavel                                              gavel.png                      ✗ MISSING
Gemini Legal                                       geminilegal.png                      ✗ MISSING
Genie AI                                           genieai.png                      ✓ EXISTS
Gino LegalTech                                     ginolegaltech.png                      ✗ MISSING
Goodfact                                           goodfact.png                      ✓ EXISTS
HIKE2                                              hike2.png                      ✗ MISSING
Habeas                                             habeas.png                      ✓ EXISTS
Hanzo                                              hanzo.png                      ✗ MISSING
Happy Curious Lawyer LLP                           happycuriouslawyerllp.png                      ✗ MISSING
Harvey                                             harvey.png                      ✓ EXISTS
HaystackID                                         haystackid.png                      ✗ MISSING
Hebbia                                             hebbia.png                      ✓ EXISTS
Hercules AI                                        herculesai.png                      ✓ EXISTS
HerculesAI                                         herculesai.png                      ✓ EXISTS
IP Mind                                            ipmind.png                      ✓ EXISTS
Icertis                                            icertis.png                      ✗ MISSING
Ideagen ConvergePoint                              ideagenconvergepoint.png                      ✗ MISSING
Immediation                                        immediation.png                      ✓ EXISTS
Imprima                                            imprima.png                      ✗ MISSING
InfoTrack                                          infotrack.png                      ✓ EXISTS
IntelAgree                                         intelagree.png                      ✗ MISSING
Introhive                                          introhive.png                      ✗ MISSING
Ironclad                                           ironclad.png                      ✗ MISSING
Ironclad, Inc.                                     ironcladinc.png                      ✓ EXISTS
Ivo                                                ivo.png                      ✓ EXISTS
JUNE GmbH                                          junegmbh.png                      ✓ EXISTS
JibuDocs                                           jibudocs.png                      ✗ MISSING
Jigsaw                                             jigsaw.png                      ✗ MISSING
Join GmbH                                          joingmbh.png                      ✗ MISSING
Josef                                              josef.png                      ✓ EXISTS
Junior Associate                                   juniorassociate.png                      ✗ MISSING
Jurimesh                                           jurimesh.png                      ✗ MISSING
Juris AI                                           jurisai.png                      ✗ MISSING
Jurisage                                           jurisage.png                      ✗ MISSING
JuristAI                                           juristai.png                      ✗ MISSING
Juristic ApS                                       juristicaps.png                      ✓ EXISTS
Juro                                               juro.png                      ✗ MISSING
Jury-X                                             juryx.png                      ✗ MISSING
Justee AI                                          justeeai.png                      ✗ MISSING
Juztina                                            juztina.png                      ✗ MISSING
Jylo                                               jylo.png                      ✓ EXISTS
KLoBot Inc                                         klobotinc.png                      ✗ MISSING
Kaitongo                                           kaitongo.png                      ✗ MISSING
Karnov Group                                       karnovgroup.png                      ✗ MISSING
Kelsen Legal Technologies Inc.                     kelsenlegaltechnologiesinc.png                      ✓ EXISTS
Knool                                              knool.png                      ✗ MISSING
LEAP Legal Software                                leaplegalsoftware.png                      ✓ EXISTS
LEGALFLY                                           legalfly.png                      ✗ MISSING
LSG                                                lsg.png                      ✗ MISSING
Laine Neural Network SA                            laineneuralnetworksa.png                      ✓ EXISTS
Laurel                                             laurel.png                      ✓ EXISTS
Law In Order                                       lawinorder.png                      ✓ EXISTS
LawDroid                                           lawdroid.png                      ✗ MISSING
